id,name,external_id,full_name
132428,"Rosdahl, Kim",sr:player:601888,Kim Rosdahl
132429,"Ledin, Per",sr:player:29889,Per Ledin
132430,"Lundgren, Niclas",sr:player:47968,Niclas Lundgren
132431,"Kilstrom, Lukas",sr:player:90764,Lukas Kilstrom
132432,"Soderstrom, Victor",sr:player:1626710,Victor Soderstrom
132433,"Andersen, Niclas",sr:player:29813,Niclas Andersen
132434,"Ersson, Marcus",sr:player:1046549,Marcus Ersson
132435,"Kellman, Joel",sr:player:292527,Joel Kellman
132436,"Berglund, Kristofer",sr:player:42529,Kristofer Berglund
132437,"Asklov, Samuel",sr:player:1098184,Samuel Asklof
132438,"Gunderson, Ryan",sr:player:132346,Ryan Gunderson
132439,"Lauridsen, Markus",sr:player:326219,Markus Lauridsen
132440,"Alcen, Johan",sr:player:29837,Johan Alcen
132441,"Fehervary, Martin",sr:player:1088176,Martin Fehervary
132442,"Bertilsson, Simon",sr:player:90701,Simon Bertilsson
132443,"Persson, Christoffer",sr:player:48140,Christoffer Persson
132444,"Bjurstrom, Alexander",sr:player:1282530,Alexander Bjurstrom
132445,"Stromberg, Didrik",sr:player:350954,Didrik Stromberg
132446,"Nilsson, Ludvig",sr:player:266563,Ludvig Nilsson
132447,"Kedbrant, Albin",sr:player:1626712,Albin Kedbrant
132448,"Korencik, Marek",sr:player:1382727,Marek Korencik
132449,"Alftberg, William",sr:player:1611226,William Alftberg
132450,"Andersson, Nils",sr:player:89461,Nils Andersson
132451,"Tobias, Forsgren",sr:player:1626708,Forsgren Tobias
132452,"Thornberg, Martin",sr:player:29876,Martin Thornberg
132453,"Ljung, Arvid",sr:player:1294572,Arvid Ljung
132454,"Forslund, Emil",sr:player:545738,Emil Forslund
132455,"Onerud, Simon",sr:player:42494,Simon Onerud
132456,"Eriksson, Joacim",sr:player:89139,Joacim Eriksson
132457,"Thuresson, Andreas",sr:player:30198,Andreas Thuresson
132458,"Granstrom, Jonathan",sr:player:29983,Jonathan Granstrom
132459,"Deutsch, Adam",sr:player:813942,Adam Deutsch
132460,"Sundh, Oscar",sr:player:30091,Oscar Sundh
132461,"Rautio, David",sr:player:30374,David Rautio
132462,"Ljungh, Markus",sr:player:102083,Markus Ljungh
132463,"Solem, Samuel",sr:player:1403237,Samuel Solem
132464,"Brannstrom, Isac",sr:player:1069002,Isac Brannstrom
132465,"Gustavsson, Lucas",sr:player:1403037,Lucas Gustavsson
132466,"Andersson, Joakim",sr:player:32986,Joakim Andersson
132467,"Elefalk, Adrian",sr:player:1654777,Adrian Elefalk
132468,"Blomqvist, Jacob",sr:player:89456,Jacob Blomqvist
132469,"Falk, Andreas",sr:player:29878,Andreas Falk
132470,"Norin, Eric",sr:player:143341,Eric Norin
132471,"Sallinen, Tomi",sr:player:34003,Tomi Sallinen
132472,"Sandberg, Filip",sr:player:309092,Filip Sandberg
132473,"Kousal, Robert",sr:player:87015,Robert Kousal
132474,"Tedenby, Mattias",sr:player:34413,Mattias Tedenby
132475,"Rohdin, Joachim",sr:player:133698,Joachim Rohdin
132476,"Danielsson, Nicklas",sr:player:29865,Nicklas Danielsson
132477,"Figren, Robin",sr:player:42445,Robin Figren
132478,"Mannberg, Daniel",sr:player:145205,Daniel Mannberg
132479,"Sandstrom, Felix",sr:player:899416,Felix Sandstrom
132480,"Cerveny, Rudolf",sr:player:86456,Rudolf Cerveny
132481,"Holmstrom, Simon",sr:player:1379883,Simon Holmstrom
132482,"Boqvist, Jesper",sr:player:955588,Jesper Boqvist
132483,"Wennlund, Max",sr:player:1340788,Max Wennlund
132484,"Gustafsson, David",sr:player:1319174,David Gustafsson
132485,"Bengtsson, Anton",sr:player:283645,Anton Bengtsson
132486,"Fransson, William",sr:player:1599308,William Fransson
132487,"Holmstrand, Helge",sr:player:1606604,Helge Holmstrand
132488,"Heikkinen, Anton",sr:player:1614846,Anton Heikkinen
132489,"Ostman, Victor",sr:player:1372328,Victor Ostman
132490,"Alnefelt, Hugo",sr:player:1425637,Hugo Alnefelt
132491,"Gunnarsson, Jonas",sr:player:179691,Jonas Gunnarsson
132492,"Johnsson, Johan",sr:player:351038,Johan Johnsson
132493,"Lehtonen, Mikko",sr:player:179399,Mikko Lehtonen
132494,"Ytterell, Alexander",sr:player:180025,Alexander Ytterell
132495,"Torngren, Christoffer",sr:player:303422,Christoffer Torngren
132496,"Wannstrom, Sebastian",sr:player:133700,Sebastian Wannstrom
132497,"Eliasson, Jesper",sr:player:1503013,Jesper Eliasson
132498,"Bibic, Almen",sr:player:351018,Almen Bibic
132499,"Bohm, Oliver",sr:player:221484,Oliver Bohm
132500,"Hogberg, Linus",sr:player:907626,Linus Hogberg
132501,"Billins, Chad",sr:player:352202,Chad Billins
132502,"Versteeg, Kris",sr:player:32158,Kris Versteeg
132503,"Backman, Mattias",sr:player:133660,Mattias Backman
132504,"Henell, Otto",sr:player:1633862,Otto Henell
132505,"Junttila, Julius",sr:player:109288,Julius Junttila
132506,"Karlsson, Alexander",sr:player:1337998,Alexander Karlsson
132507,"Bokk, Dominik",sr:player:1340792,Dominik Bokk
132508,"Roy, Derek",sr:player:30548,Derek Roy
132509,"Rondbjerg, Jonas",sr:player:992333,Jonas Rondbjerg
132510,"Kiiskinen, Tuomas",sr:player:28979,Tuomas Kiiskinen
132511,"Karlsson, Sebastian",sr:player:29821,Sebastian Karlsson
132512,"Heljemo, Jakob",sr:player:1379915,Jakob Heljemo
132513,"Gordon, Andrew",sr:player:137287,Andrew Gordon
132514,"Cederqvist, Filip",sr:player:1613234,Filip Cederqvist
132515,"Pesonen, Janne",sr:player:28936,Janne Pesonen
132516,"Gunnarsson, Kristoffer",sr:player:907460,Kristoffer Gunnarsson
132517,"Horak, Roman",sr:player:184691,Roman Horak
132518,"Karlstrom, Fredrik",sr:player:1004599,Fredrik Karlstrom
132519,"Shinnimin, Brendan",sr:player:780202,Brendan Shinnimin
132520,"Lundberg, Martin",sr:player:42556,Martin Lundberg
132521,"Wright, James",sr:player:93528,James Wright
132522,"Holmberg, Pontus",sr:player:1379887,Pontus Holmberg
132523,"Whitney, Joe",sr:player:790001,Joe Whitney
132524,"Fasth, Viktor",sr:player:48129,Viktor Fasth
132525,"Tukonen, Lauri",sr:player:29591,Lauri Tukonen
132526,"Sorensen, Nick",sr:player:353470,Nick Sorensen
132527,"Burstrom, Niclas",sr:player:42558,Niclas Burstrom
132528,"Brodecki, Adam",sr:player:351058,Adam Brodecki
132529,"Hardt, Nichlas",sr:player:34355,Nichlas Hardt
132530,"Andersson, Peter",sr:player:89428,Peter Andersson
132531,"Baastrup, Daniel",sr:player:1343580,Daniel Baastrup-Andersen
132532,"Andren, Viktor",sr:player:894878,Viktor Andren
132533,"Costmar, Arvid",sr:player:1653579,Arvid Costmar
132534,"Rahimi, Daniel",sr:player:97341,Daniel Rahimi
132535,"Bernhardt, David",sr:player:906762,David Bernhardt
132536,"Pettersson, Dan",sr:player:815646,Dan Pettersson
132537,"Lundberg, Arvid",sr:player:350968,Arvid Lundberg
132538,"Pasic, Nikola",sr:player:1401447,Nikola Pasic
132539,"Josefsson, Erik",sr:player:48150,Erik Josefsson
132540,"Froberg, Linus",sr:player:266743,Linus Froberg
132541,"Johansson, Jacob",sr:player:600622,Jacob Johansson
132542,"Reddox, Liam",sr:player:42524,Liam Reddox
132543,"Lycksell, Olle",sr:player:1144938,Olle Lycksell
132544,"Persson, Joel",sr:player:984439,Joel Persson
132545,"Bengtsson, Lukas",sr:player:265983,Lukas Bengtsson
132546,"Karlsson, Filip",sr:player:374396,Filip Karlsson
132547,"Ginning, Adam",sr:player:1108421,Adam Ginning
132548,"Sodergran, Johan",sr:player:1337972,Johan Sodergran
132549,"Lundmark, Simon",sr:player:1339970,Simon Lundmark
132550,"Little, Broc",sr:player:180083,Broc Little
132551,"Karlsson, Anton",sr:player:350814,Anton Karlsson
132552,"Gustavsson, Jonas",sr:player:30308,Jonas Gustavsson
132553,"Larsson, Eddie",sr:player:96279,Eddie Larsson
132554,"Myrenberg, Jesper",sr:player:1379911,Jesper Myrenberg
132555,"Ward, Matteus",sr:player:1425635,Matteus Ward
132556,"Olsson Trkulja, Daniel",sr:player:225674,Daniel Olsson Trkulja
132557,"Andersson, Jimmy",sr:player:89478,Jimmy Andersson
132558,"Enroth, Jhonas",sr:player:184681,Jhonas Enroth
132559,"Ohlsson, Isac",sr:player:1614704,Isac Ohlsson
132560,"Mantler, Isak",sr:player:1401449,Isak Mantler
132561,"Rissanen, Rasmus",sr:player:133950,Rasmus Rissanen
132562,"Backstrom, Gustav",sr:player:601654,Gustav Backstrom
132563,"Warg, Stefan",sr:player:132343,Stefan Warg
132564,"Spink, Tyson",sr:player:1289656,Tyson Spink
132565,"Spink, Tylor",sr:player:1048041,Tylor Spink
132566,"Harper, Shane",sr:player:854484,Shane Harper
132567,"Palushaj, Aaron",sr:player:182125,Aaron Palushaj
132568,"Gustafsson, Glenn",sr:player:1081764,Glenn Gustafsson
132569,"Wandell, Tom",sr:player:42489,Tom Wandell
132570,"Lodin, Viktor",sr:player:1595564,Viktor Lodin
132571,"Abols, Rodrigo",sr:player:598372,Rodrigo Abols
132572,"Virta, Patrik",sr:player:813560,Patrik Virta
132573,"Weinstock, Marcus",sr:player:47940,Marcus Weinstock
132574,"Andersson, Jonathan",sr:player:305180,Jonathan Andersson
132575,"Oberg, Linus",sr:player:1620848,Linus Oberg
132576,"Hedman, Anton",sr:player:48146,Anton Hedman
132577,"Steen, Stefan",sr:player:266573,Stefan Steen
132578,"Arnesson, Linus",sr:player:263675,Linus Arnesson
132579,"Mastomaki, Chistopher",sr:player:383324,Chistopher Mastomaki
132580,"Kilpelainen, Eero",sr:player:28720,Eero Kilpelainen
132581,"Boucher, Jordan",sr:player:1301958,Jordan Boucher
132582,"Nakyva, Kristian",sr:player:42606,Kristian Nakyva
132583,"Bertov, Daniel",sr:player:968849,Daniel Bertov
132584,"Barklund, Alfred",sr:player:1595554,Alfred Barklund
132585,"Curran, Kodie",sr:player:906432,Kodie Curran
132586,"Ebert, Nick",sr:player:895838,Nick Ebert
132587,"Sallinen, Jere",sr:player:42610,Jere Sallinen
132588,"Bibic, Alen",sr:player:148663,Alen Bibic
132589,"Olsson, Kalle",sr:player:47979,Kalle Olsson
132590,"Schira, Craig",sr:player:350622,Craig Schira
132591,"Sandin, Linus",sr:player:894976,Linus Sandin
132592,"Carey, Matt",sr:player:551276,Matt Carey
132593,"Sjogren, Mattias",sr:player:42546,Mattias Sjogren
132594,"Mingoia, Trevor",sr:player:978971,Trevor Mingoia
132595,"Ryfors, Simon",sr:player:1069856,Simon Ryfors
132596,"Matson, Taylor",sr:player:602126,Taylor Matson
132597,"Hoglander, Nils",sr:player:1083448,Nils Hoglander
132598,"Horvath, Balint",sr:player:1407175,Balint Horvath
132599,"Wennstrom, Kevin",sr:player:1358848,Kevin Wennstrom
132600,"Williamsson, Jesper",sr:player:132528,Jesper Williamsson
